source,area,iso,adm_id,id,sex,age2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DHS,Western Asia,IRQ,Babylon,2,1,35,30373,33388.83323,36405.01469,40814.24284,45281.00137,49558.48795,47419.74466,48878.07549,49293.13284,49640.28706,50060.27492,54167.30143,55072.20959,55820.72884,56424.33866,56808.09895,56888.94042,56793.48844,56587.49759,56366.88057,56185.34481
DHS,Western Asia,IRQ,Babylon,2,1,4,75944,86574.53049,97204.9502,102439.7549,107730.8914,113374.2908,110552.5911,92907.89355,93332.48182,93979.07059,94763.9371,121339.8853,128497.7923,129395.6475,129938.7688,130083.6137,130201.7341,129603.4153,128471.3989,127031.2025,125441.7797
DHS,Western Asia,IRQ,Babylon,2,1,40,15647,16990.93971,18334.7778,20026.14264,22060.65443,24413.27878,23236.96661,37897.12872,40005.42372,41908.24794,43462.52043,45080.21806,45280.83151,46042.44845,46699.93414,47312.79501,47757.69014,48142.0089,48432.93261,48581.69402,48570.71765
DHS,Western Asia,IRQ,Babylon,2,1,45,22362,22572.47715,22782.72967,22957.027,23250.05276,24031.71505,23640.88391,25902.46644,26584.59527,27608.04039,28923.30391,28381.04126,28513.98825,30345.31035,31991.29316,33289.88249,34189.25448,34772.82299,35129.21816,35396.16826,35650.54836
DHS,Western Asia,IRQ,Babylon,2,1,5,93776,98628.96733,103481.7585,110199.644,117093.0829,123861.7779,120477.4304,127788.4599,127095.7363,126399.4785,126148.6686,126368.9076,125111.692,126227.5926,127401.3067,128226.2538,128802.2455,129154.2441,129244.3906,129027.9009,128442.9049
DHS,Western Asia,IRQ,Babylon,2,1,50,16512,16530.35448,16549.06252,19151.89287,21511.78485,23214.67007,22363.22746,26203.34194,24786.69097,23645.36354,23118.60643,20723.73177,17651.75907,18272.00457,19112.88448,20112.02793,21192.05009,22434.16893,23696.67754,24796.31821,25634.93028
DHS,Western Asia,IRQ,Babylon,2,1,55,11703,12247.23115,12791.02814,12957.48684,13484.8975,14620.99503,14052.94627,21920.4484,23863.49055,25271.07022,25797.28753,23870.29421,19729.18488,18785.19638,18042.09773,17725.27528,17655.01126,17873.71244,18348.4624,19033.66624,19888.55043
DHS,Western Asia,IRQ,Babylon,2,1,60,6926,7948.352112,8971.199804,9632.644995,10216.92029,10662.11374,10439.51701,17130.65245,16291.84925,15997.45022,16462.64987,13682.39266,13304.97323,14576.41877,15492.04919,15823.61343,15597.06727,14955.75813,14152.77698,13518.12486,13218.09128
DHS,Western Asia,IRQ,Babylon,2,1,65,4624,5285.645879,5947.508671,6334.33906,6757.058309,7222.351392,6989.704851,10740.39369,10817.29163,10791.5727,10630.18463,9576.961512,9488.176197,9051.129825,8931.265902,9228.60861,9775.881597,10656.53586,11587.75811,12211.93982,12377.21693
DHS,Western Asia,IRQ,Babylon,2,1,70,5258,5409.519693,5561.0629,5944.919361,6351.120751,6773.742302,6562.431527,7086.421327,7067.325634,7085.508758,7151.133343,5059.11308,6286.151104,6360.391895,6360.892697,6260.872932,6010.009036,5663.965487,5359.58242,5265.580685,5439.987022
